category,n_frames,siglip2_ap,clip_ap
apple,15,0.9846415489272631,0.9846415489272631
avocado,62,0.967302692705318,0.9825076363431144
bacon,51,0.904602029795258,0.9297764831943512
beer,6,0.7333333333333333,0.6083333333333333
boil_milk,36,0.8977311205916567,0.7814775147385634
box,18,0.7941347459729812,0.8053623780514536
cake,103,0.9727566217907244,0.9719825364156732
champagne,10,0.71984126984127,0.7602678571428572
chocolate,123,0.9983919586472381,0.9879812416900883
coffee,21,0.9074852157058444,0.9187425256473649
corn,96,0.9478828178663997,0.9501101300623244
cream,105,0.9590004517272915,0.9306807197061858
cube,25,0.9719962507272666,0.9027044962440329
dough,57,0.9983755488618767,0.9993678392409595
drill,18,0.9325148925148924,0.966206146794382
eggs,14,0.8156994520630885,0.9134660793751703
fish,55,0.9427108849643314,0.9971176227741608
juice,21,0.9152142011468638,0.944304854502223
milk,23,0.993793097548038,0.9780577643397945
onion,15,0.9945054945054943,0.9383413594952055
pan,67,0.9378241728206462,0.9422040610379716
pancake,22,0.8593710559306535,0.8740337543433518
pineapple,31,0.9784494599264156,0.9717629519899078
plane,26,0.9951948717948718,0.9545374970656839
potatoes,62,0.9572615543908451,0.9438645492596349
ribbon,45,0.9228420882829245,0.9417814822223184
rope,28,0.8581663303359204,0.9014813486509387
shoes,47,0.9965343303740345,0.9770166337282218
t-shirt,55,0.9582117378798767,0.9486103174332989
tie,8,0.9617346938775511,1.0
tile,12,0.9841597796143251,0.9750688705234161
tortilla,48,0.9833143334253154,0.9882876040267905
tree,92,0.9930623656812003,0.9924632296339526
weed,19,0.9795774498883376,0.9872494075602951
whisk_eggs,14,0.9999999999999998,0.9674927636466095
MEAN,1450,0.9347890815274098,0.9319224154040257
